XML_ID|AMOUNT
10777433|12
14390001|254
249242|90
144529|34
5196954|342
5760589|21
8461057|135
10848304|167
10677072|10
13677563|47
14367000|96
4012379|16
8279114|87
9686594|32
1692130|821
2172946|104
2813355|497
9359088|88
11855721|128
146897|127
7306239|36
10774218|120
10118873|20
13304631|293
12801499|5
868830|4062
3927862|19
9575553|7
10451359|21
145765|599
1800434|254
9737549|377
9864600|26
10434702|24
11907782|32
12887324|59
236530|116
398234|97
4065859|17
142770|399
6709732|52
6129001|68
6531635|268
10025553|16
9736079|199
14390818|14
13857487|109
146172|2129
743098|630
7212725|525
9724368|27
8037724|29
14351881|284
14349403|25
959531|57
5107609|9
5403445|139
9966003|42
10537994|13
144955|734
3394252|569
4382052|51
9751205|31
9590816|13
12155895|59
12146096|104
13206997|53
237481|11
7266203|67
9737512|44
8667835|23
13591071|134
429842|526
145194|79
620013|92
2166500|81
5095410|15
9758849|41
10686775|23
14365854|135
12216024|69
1015711|376
9358397|45
10391428|54
13506457|46
4398627|121
2867091|46
4333140|48
6935025|53
8685374|116
9758821|113
11571282|565
674914|10
245494|5
143869|219
374306|868
601878|712
2656815|176
7736911|380
9770017|18
10471328|14
13029336|10
4092729|2652
6920158|11
9745466|93
9142624|100
10138804|15
12635536|32
239684|120
142833|3106
4887209|7
9677175|4
6343658|239
7302850|29
13682345|159
13682546|39
141776|784
142317|181
